%0o,	Fokus, Waktu
670, 2, 13:44:57.803
671, 2, 13:44:57.821
672, 2, 13:44:57.837
673, 2, 13:44:57.853
674, 2, 13:44:57.870
675, 2, 13:44:57.887
676, 2, 13:44:57.903
677, 2, 13:44:57.920
678, 2, 13:44:57.937
679, 2, 13:44:57.953
680, 2, 13:44:57.971
681, 2, 13:44:57.987
682, 2, 13:44:58.004
683, 2, 13:44:58.020
684, 2, 13:44:58.037
685, 2, 13:44:58.053
686, 2, 13:44:58.071
687, 2, 13:44:58.087
688, 2, 13:44:58.103
689, 2, 13:44:58.121
690, 2, 13:44:58.138
691, 2, 13:44:58.153
692, 2, 13:44:58.171
693, 2, 13:44:58.188
694, 2, 13:44:58.203
695, 2, 13:44:58.220
696, 2, 13:44:58.237
697, 2, 13:44:58.253
698, 2, 13:44:58.271
699, 2, 13:44:58.287
700, 2, 13:44:58.304
701, 2, 13:44:58.320
702, 2, 13:44:58.337
703, 2, 13:44:58.354
704, 2, 13:44:58.370
705, 2, 13:44:58.387
706, 2, 13:44:58.404
707, 2, 13:44:58.420
708, 2, 13:44:58.437
709, 2, 13:44:58.453
710, 2, 13:44:58.470
711, 2, 13:44:58.487
712, 2, 13:44:58.503
713, 2, 13:44:58.520
714, 2, 13:44:58.537
715, 2, 13:44:58.554
716, 2, 13:44:58.570
717, 2, 13:44:58.587
718, 2, 13:44:58.603
719, 2, 13:44:58.621
720, 2, 13:44:58.637
721, 2, 13:44:58.653
722, 2, 13:44:58.670
723, 2, 13:44:58.687
724, 2, 13:44:58.703
725, 2, 13:44:58.720
726, 2, 13:44:58.737
727, 2, 13:44:58.753
728, 2, 13:44:58.770
729, 2, 13:44:58.787
730, 2, 13:44:58.803
731, 2, 13:44:58.820
732, 2, 13:44:58.837
733, 2, 13:44:58.854
734, 2, 13:44:58.870
735, 2, 13:44:58.887
736, 2, 13:44:58.903
737, 2, 13:44:58.920
738, 2, 13:44:58.937
739, 2, 13:44:58.953
740, 2, 13:44:58.970
741, 2, 13:44:58.987
742, 2, 13:44:59.003
743, 2, 13:44:59.021
744, 2, 13:44:59.037
745, 2, 13:44:59.053
746, 2, 13:44:59.070
747, 2, 13:44:59.087
748, 2, 13:44:59.104
749, 2, 13:44:59.120
750, 2, 13:44:59.137
751, 2, 13:44:59.153
752, 2, 13:44:59.171
753, 2, 13:44:59.187
754, 2, 13:44:59.204
755, 2, 13:44:59.220
756, 2, 13:44:59.237
757, 2, 13:44:59.253
758, 2, 13:44:59.271
759, 2, 13:44:59.287
760, 2, 13:44:59.303
761, 2, 13:44:59.320
762, 2, 13:44:59.337
763, 2, 13:44:59.354
764, 2, 13:44:59.371
765, 2, 13:44:59.387
766, 2, 13:44:59.403
767, 2, 13:44:59.420
768, 2, 13:44:59.437
769, 2, 13:44:59.454
770, 2, 13:44:59.470
771, 2, 13:44:59.487
772, 2, 13:44:59.503
773, 2, 13:44:59.520
774, 2, 13:44:59.537
775, 2, 13:44:59.553
776, 2, 13:44:59.571
777, 2, 13:44:59.587
778, 2, 13:44:59.603
779, 2, 13:44:59.620
780, 2, 13:44:59.637
781, 2, 13:44:59.653
782, 2, 13:44:59.670
783, 2, 13:44:59.687
784, 2, 13:44:59.703
785, 2, 13:44:59.720
786, 2, 13:44:59.737
787, 2, 13:44:59.753
788, 2, 13:44:59.770
789, 2, 13:44:59.787
790, 2, 13:44:59.803
791, 2, 13:44:59.820
792, 2, 13:44:59.837
793, 2, 13:44:59.853
794, 2, 13:44:59.870
795, 2, 13:44:59.887
796, 2, 13:44:59.904
797, 2, 13:44:59.920
798, 2, 13:44:59.937
799, 2, 13:44:59.953
800, 2, 13:44:59.970
801, 2, 13:44:59.987
802, 2, 13:45:00.003
803, 2, 13:45:00.020
804, 2, 13:45:00.037
805, 2, 13:45:00.053
806, 2, 13:45:00.070
807, 2, 13:45:00.087
808, 2, 13:45:00.104
809, 2, 13:45:00.121
810, 2, 13:45:00.138
811, 2, 13:45:00.153
812, 2, 13:45:00.170
813, 2, 13:45:00.187
814, 2, 13:45:00.203
815, 2, 13:45:00.220
816, 2, 13:45:00.237
817, 2, 13:45:00.254
818, 2, 13:45:00.271
819, 2, 13:45:00.287
820, 2, 13:45:00.303
821, 2, 13:45:00.320
822, 2, 13:45:00.337
823, 2, 13:45:00.353
824, 2, 13:45:00.370
825, 2, 13:45:00.388
826, 2, 13:45:00.404
827, 2, 13:45:00.420
828, 2, 13:45:00.436
829, 2, 13:45:00.453
830, 2, 13:45:00.470
831, 2, 13:45:00.487
832, 2, 13:45:00.503
833, 2, 13:45:00.520
834, 2, 13:45:00.537
835, 2, 13:45:00.553
836, 2, 13:45:00.570
837, 2, 13:45:00.587
838, 2, 13:45:00.603
839, 2, 13:45:00.620
840, 2, 13:45:00.637
841, 2, 13:45:00.653
842, 2, 13:45:00.671
843, 2, 13:45:00.687
844, 2, 13:45:00.703
845, 2, 13:45:00.720
846, 2, 13:45:00.737
847, 2, 13:45:00.752
848, 2, 13:45:00.770
849, 2, 13:45:00.787
850, 2, 13:45:00.803
851, 2, 13:45:00.820
852, 2, 13:45:00.837
853, 2, 13:45:00.853
854, 2, 13:45:00.870
855, 2, 13:45:00.888
856, 2, 13:45:00.904
857, 2, 13:45:00.921
858, 2, 13:45:00.937
859, 2, 13:45:00.954
860, 2, 13:45:00.971
861, 2, 13:45:00.987
862, 2, 13:45:01.003
863, 2, 13:45:01.019
864, 2, 13:45:01.037
865, 2, 13:45:01.053
866, 2, 13:45:01.070
867, 2, 13:45:01.088
868, 2, 13:45:01.104
869, 2, 13:45:01.120
870, 2, 13:45:01.137
871, 2, 13:45:01.153
872, 2, 13:45:01.170
873, 2, 13:45:01.187
874, 2, 13:45:01.203
875, 2, 13:45:01.220
876, 2, 13:45:01.237
877, 2, 13:45:01.253
878, 2, 13:45:01.270
879, 2, 13:45:01.287
880, 2, 13:45:01.304
881, 2, 13:45:01.320
882, 2, 13:45:01.337
883, 2, 13:45:01.354
884, 2, 13:45:01.371
885, 2, 13:45:01.387
886, 2, 13:45:01.404
887, 2, 13:45:01.421
888, 2, 13:45:01.437
889, 2, 13:45:01.453
890, 2, 13:45:01.470
891, 2, 13:45:01.487
892, 2, 13:45:01.503
893, 2, 13:45:01.520
894, 2, 13:45:01.537
895, 2, 13:45:01.553
896, 2, 13:45:01.570
897, 2, 13:45:01.587
898, 2, 13:45:01.604
899, 2, 13:45:01.621
900, 2, 13:45:01.637
901, 2, 13:45:01.653
902, 2, 13:45:01.670
903, 2, 13:45:01.687
904, 2, 13:45:01.703
905, 2, 13:45:01.720
906, 2, 13:45:01.736
907, 2, 13:45:01.753
908, 2, 13:45:01.770
909, 2, 13:45:01.787
910, 2, 13:45:01.803
911, 2, 13:45:01.820
912, 2, 13:45:01.837
913, 2, 13:45:01.853
914, 2, 13:45:01.870
915, 2, 13:45:01.887
916, 2, 13:45:01.903
917, 2, 13:45:01.920
918, 2, 13:45:01.937
919, 2, 13:45:01.953
920, 2, 13:45:01.970
921, 2, 13:45:01.987
922, 2, 13:45:02.003
923, 2, 13:45:02.021
924, 2, 13:45:02.037
925, 2, 13:45:02.053
926, 2, 13:45:02.070
927, 2, 13:45:02.087
928, 2, 13:45:02.103
929, 2, 13:45:02.120
930, 2, 13:45:02.137
931, 2, 13:45:02.153
932, 2, 13:45:02.170
933, 2, 13:45:02.187
934, 2, 13:45:02.203
935, 2, 13:45:02.220
936, 2, 13:45:02.237
937, 2, 13:45:02.253
938, 2, 13:45:02.270
939, 2, 13:45:02.287
940, 2, 13:45:02.303
941, 2, 13:45:02.320
942, 2, 13:45:02.337
943, 2, 13:45:02.354
944, 2, 13:45:02.371
945, 2, 13:45:02.387
946, 2, 13:45:02.403
947, 2, 13:45:02.420
948, 2, 13:45:02.437
949, 2, 13:45:02.453
950, 2, 13:45:02.470
951, 2, 13:45:02.487
952, 2, 13:45:02.503
953, 2, 13:45:02.521
954, 2, 13:45:02.537
955, 2, 13:45:02.553
956, 2, 13:45:02.570
957, 2, 13:45:02.587
958, 2, 13:45:02.603
959, 2, 13:45:02.620
960, 2, 13:45:02.637
961, 2, 13:45:02.653
962, 2, 13:45:02.671
963, 2, 13:45:02.687
964, 2, 13:45:02.703
965, 2, 13:45:02.721
966, 2, 13:45:02.737
967, 2, 13:45:02.753
968, 2, 13:45:02.771
969, 2, 13:45:02.787
970, 2, 13:45:02.803
971, 2, 13:45:02.820
972, 2, 13:45:02.837
973, 2, 13:45:02.853
974, 2, 13:45:02.871
975, 2, 13:45:02.887
976, 0, 13:45:02.903
977, 0, 13:45:02.920
978, 0, 13:45:02.937
979, 0, 13:45:02.953
980, 0, 13:45:02.970
981, 0, 13:45:02.987
982, 0, 13:45:03.002
983, 0, 13:45:03.020
984, 0, 13:45:03.037
985, 0, 13:45:03.053
986, 0, 13:45:03.071
987, 0, 13:45:03.087
988, 0, 13:45:03.103
989, 0, 13:45:03.120
990, 0, 13:45:03.137
991, 0, 13:45:03.153
992, 0, 13:45:03.170
