No.	Fokus		Waktu
721,	LEFT		1:14:14;46121
722,	LEFT		1:14:14;46139
723,	LEFT		1:14:14;46155
724,	LEFT		1:14:14;46173
725,	LEFT		1:14:14;46187
726,	LEFT		1:14:14;46203
727,	LEFT		1:14:14;46222
728,	LEFT		1:14:14;46236
729,	LEFT		1:14:14;46256
730,	LEFT		1:14:14;46270
731,	LEFT		1:14:14;46285
732,	LEFT		1:14:14;46303
733,	LEFT		1:14:14;46319
734,	LEFT		1:14:14;46337
735,	LEFT		1:14:14;46353
736,	LEFT		1:14:14;46370
737,	LEFT		1:14:14;46385
738,	LEFT		1:14:14;46402
739,	LEFT		1:14:14;46421
740,	LEFT		1:14:14;46436
741,	LEFT		1:14:14;46455
742,	LEFT		1:14:14;46469
743,	LEFT		1:14:14;46486
744,	LEFT		1:14:14;46504
745,	LEFT		1:14:14;46520
746,	UP		1:14:14;46540
747,	UP		1:14:14;46555
748,	UP		1:14:14;46574
749,	UP		1:14:14;46587
750,	UP		1:14:14;46604
751,	UP		1:14:14;46624
752,	UP		1:14:14;46638
753,	UP		1:14:14;46658
754,	UP		1:14:14;46671
755,	UP		1:14:15;46688
756,	UP		1:14:15;46703
757,	UP		1:14:15;46720
758,	UP		1:14:15;46739
759,	UP		1:14:15;46754
760,	UP		1:14:15;46772
761,	UP		1:14:15;46786
762,	UP		1:14:15;46804
763,	UP		1:14:15;46822
764,	UP		1:14:15;46837
765,	UP		1:14:15;46856
766,	UP		1:14:15;46870
767,	UP		1:14:15;46888
768,	UP		1:14:15;46903
769,	UP		1:14:15;46920
770,	UP		1:14:15;46938
771,	UP		1:14:15;46953
772,	UP		1:14:15;46973
773,	UP		1:14:15;46986
774,	UP		1:14:15;47002
775,	UP		1:14:15;47021
776,	UP		1:14:15;47036
777,	UP		1:14:15;47054
778,	UP		1:14:15;47069
779,	UP		1:14:15;47085
780,	UP		1:14:15;47104
781,	UP		1:14:15;47119
782,	UP		1:14:15;47138
783,	UP		1:14:15;47153
784,	UP		1:14:15;47171
785,	UP		1:14:15;47187
786,	UP		1:14:15;47203
787,	UP		1:14:15;47221
788,	UP		1:14:15;47236
789,	UP		1:14:15;47256
790,	UP		1:14:15;47269
791,	UP		1:14:15;47288
792,	UP		1:14:15;47304
793,	UP		1:14:15;47318
794,	UP		1:14:15;47336
795,	UP		1:14:15;47352
796,	UP		1:14:15;47370
797,	UP		1:14:15;47386
798,	UP		1:14:15;47402
799,	UP		1:14:15;47420
800,	UP		1:14:15;47435
801,	UP		1:14:15;47453
802,	UP		1:14:15;47468
803,	UP		1:14:15;47484
804,	UP		1:14:15;47502
805,	UP		1:14:15;47518
806,	UP		1:14:15;47536
807,	UP		1:14:15;47551
808,	UP		1:14:15;47569
809,	UP		1:14:15;47585
810,	UP		1:14:15;47602
811,	UP		1:14:15;47620
812,	UP		1:14:15;47635
813,	UP		1:14:15;47653
814,	UP		1:14:15;47669
815,	UP		1:14:16;47684
816,	UP		1:14:16;47702
